Event Identifier,Event Name,First Year,Last Year,Primary Genre,Venue Identifier,Venue Name,Suburb,Latitude,Longitude
100314,"Don Juan or, The Rake Punished",1861,1861,Music Theatre,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100329,"Dorothy",1887,1887,Music Theatre,120,"Princess Theatre (1886- )",Melbourne,-37.810729,144.972464
100332,"The Double Event or, A Tale of the Melbourne Cup",1893,1893,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100334,"The Hermit's Bell",1877,1877,Music Theatre,19676,"St. George's Hall",Melbourne,-37.81306,144.96655
100337,"Drink",1880,1880,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100339,"The Two Foscari",1868,1868,Music Theatre,13495,"Haymarket Theatre",Melbourne,-37.812654,144.969314
100345,"The Two Students",1887,1887,Music Theatre,11093,"Alexandra Theatre",Melbourne,-37.810916,144.969755
100348,"East Lynne",1867,1867,Theatre - Spoken Word,13495,"Haymarket Theatre",Melbourne,-37.812654,144.969314
100350,"L'Ebreo",1873,1873,Music Theatre,10628,"Prince of Wales Opera House",Melbourne,-37.813351,144.966632
100388,"L'Elisir d'Amore",1856,1856,Music Theatre,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100389,"The Emerald Isle or, The Caves of Carric-Cleena",1903,1903,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100397,"An Enemy of the People",1914,1914,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100398,"England versus Australia",1909,1909,Theatre - Spoken Word,15506,"Oddfellows' Hall",Melbourne,-37.810286,144.963919
100412,"England's Hope",1911,1911,Theatre - Spoken Word,4527,"King's Theatre",Melbourne,-37.813329,144.968184
100413,"Erminie",1887,1887,Music Theatre,120,"Princess Theatre (1886- )",Melbourne,-37.810729,144.972464
100414,"Ernani",1857,1857,Music Theatre,19180,"Princess's Theatre and Opera House (1857-1886)",Melbourne,-37.810729,144.972464
100426,"Sanctuary",1994,1994,Theatre - Spoken Word,18,"Monash University, George Jenkins Theatre",Frankston,-38.152,145.13501
100427,"Boswell for the Defence",1994,1994,Theatre - Spoken Word,3358,"The Capital - Bendigo's Performing Arts Centre",Bendigo,-36.757412,144.276222
100428,"Sanctuary",1994,1994,Theatre - Spoken Word,663,"Geelong Performing Arts Centre",Geelong,-38.147454,144.356491
100429,"Oleanna",1994,1994,Theatre - Spoken Word,663,"Geelong Performing Arts Centre",Geelong,-38.147454,144.356491
100433,"Sanctuary",1994,1994,Theatre - Spoken Word,17,"Monash University, Alexander Theatre",Clayton,-37.913604,145.133347
100445,"Eugene Aram",1874,1874,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100448,"Evangeline",1891,1891,Music Theatre,10628,"Prince of Wales Opera House",Melbourne,-37.813351,144.966632
100449,"Everyman",1905,1905,Theatre - Spoken Word,125,"Melbourne Town Hall",Melbourne,-37.815084,144.966508
100467,"Macbeth",2012,2012,Theatre - Spoken Word,11513,"The Arts Centre",Melbourne,-37.819977,144.968632
100474,"Red",2012,2012,Theatre - Spoken Word,13086,"Southbank Theatre, The Sumner",Southbank,-37.823752,144.969449
100480,"Falling from Grace",1994,1994,Theatre - Spoken Word,3355,"West Gippsland Arts Centre",Warragul,-38.15906,145.93337
100481,"Falling from Grace",1994,1994,Theatre - Spoken Word,17,"Monash University, Alexander Theatre",Clayton,-37.913604,145.133347
100482,"Falling from Grace",1994,1994,Theatre - Spoken Word,3358,"The Capital - Bendigo's Performing Arts Centre",Bendigo,-36.757412,144.276222
100483,"Falling from Grace",1994,1994,Theatre - Spoken Word,663,"Geelong Performing Arts Centre",Geelong,-38.147454,144.356491
100484,"Sanctuary",1994,1994,Theatre - Spoken Word,3355,"West Gippsland Arts Centre",Warragul,-38.15906,145.93337
100485,"Sanctuary",1994,1994,Theatre - Spoken Word,3358,"The Capital - Bendigo's Performing Arts Centre",Bendigo,-36.757412,144.276222
100516,"Falka",1886,1886,Music Theatre,10628,"Prince of Wales Opera House",Melbourne,-37.813351,144.966632
100517,"La Fanciulla del West",1912,1912,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100551,"The Australian Ballet: La Fille mal Gardee",1968,1968,Dance,120,"Princess Theatre (1886- )",Melbourne,-37.810729,144.972464
100590,"Mrs Warren's Profession",1930,1930,Theatre - Spoken Word,11983,"Queen's Hall",Melbourne,-37.809246,144.965072
100591,"Mrs Warren's Profession",1936,1936,Theatre - Spoken Word,11983,"Queen's Hall",Melbourne,-37.809246,144.965072
100623,"The Ends of Things",2000,2000,Dance,700,"National Theatre",St Kilda,-37.866959,144.980955
100632,"Nederlands Dans Theater III",1998,1998,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100634,"Romeo & Juliet",1998,1998,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100635,"Tango Pasion",1998,1998,Dance,98,"Comedy Theatre",Melbourne,-37.810308,144.970033
100636,"Active for Life Dance Sunday",1998,1998,Dance,29,"Victorian Arts Centre",Melbourne,-37.821624,144.968856
100637,"Fleshmeet",1998,1998,Dance,11,"Merlyn Theatre @ CUB Malthouse",Southbank,-37.827082,144.96654
100638,"Streb",1998,1998,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100639,"Tina C: Sorry Seems To Be The Hardest Word",2012,2012,Theatre - Spoken Word,159,"Beckett Theatre @ CUB Malthouse",Southbank,-37.827082,144.96654
100643,"Australia Day",2012,2012,Theatre - Spoken Word,21020,"Playhouse, Arts Centre Melbourne",Melbourne,-37.820156,144.967981
100644,"Stockholm",2012,2012,Theatre - Spoken Word,3002,"Red Stitch Actors Theatre",St Kilda,-37.858505,144.993121
100646,"The Histrionic",2012,2012,Theatre - Spoken Word,10824,"Malthouse Theatre",Southbank,-37.827082,144.96654
100647,"Sumi Jo in Recital",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100648,"Opening Night with Sumi Jo",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100649,"Das Lied von der Erde",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100650,"Love Burns / Trouble in Tahiti",1998,1998,Music Theatre,83,"Athenaeum Theatre",Melbourne,-37.815039,144.967359
100651,"Yehudi Menuhin conducts the Sinfonia Varsovia",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100652,"The Bekova Sisters with Marius Stravinsky",1998,1998,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
100653,"The Bekova Sisters - The Bach Cello Suites",1998,1998,Music,3919,"Chapter House",Melbourne,-37.817346,144.967509
100654,"The Village (K'far)",1998,1998,Theatre - Spoken Word,3,"Playhouse",Melbourne,-37.821404,144.968724
100655,"Enter the Actress",1998,1998,Theatre - Spoken Word,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100656,"Shakespeare's Women",1998,1998,Theatre - Spoken Word,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100657,"Jane Eyre",1998,1998,Theatre - Spoken Word,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100679,"Heavy",1998,1998,Dance,11579,"Athenaeum Theatre Two",Melbourne,-37.815039,144.967359
100681,"A Midsummer Night's Dream",1998,1998,Music Theatre,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100683,"Europa Galante",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100684,"Rachmaninoff Vespers",1998,1998,Music,20819,"St Patrick's Cathedral",East Melbourne,-37.810027,144.976415
100685,"Gary Lakes irish Program",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100686,"Trinity College Organ Concerts",1998,1998,Music,15569,"Trinity College Chapel",Parkville,-37.789019,144.958683
100687,"The Chamber Music Sunset Series",1998,1998,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
100688,"Electric-Eye",1998,1998,Other,15570,"Grainger Museum",Carlton,-37.799493,144.968573
100689,"Electric-Eye",1998,1998,Other,11199,"Melba Hall",Parkville,-37.79672,144.95876
100690,"Transitions - Joussaince",1998,1998,Music,15571,"Immigration Museum",Melbourne,-37.818261,144.964886
100692,"Transitions - Australian Chinese Music Ensemble",1998,1998,Music,15571,"Immigration Museum",Melbourne,-37.818261,144.964886
100693,"Transitions - Breezes of Anatolia",1998,1998,Music,15571,"Immigration Museum",Melbourne,-37.818261,144.964886
100694,"A Matter of Breath",1998,1998,Music,15572,"Iwaki Auditorium",Southbank,-37.823392,144.966065
100695,"Into the Volcano",1998,1998,Music,15572,"Iwaki Auditorium",Southbank,-37.823392,144.966065
100696,"Guitar Miniatures",1998,1998,Music,3919,"Chapter House",Melbourne,-37.817346,144.967509
100697,"Andrea Marcovicci with Glenn Mehrbach - Love Songs from the Theatre",1998,1998,Music Theatre,4334,"Myer Mural Hall",Melbourne,-37.811255,144.972688
100716,"Kurt Elling",1998,1998,Music,15573,"Orlando Trilogy Festival Club",Melbourne,-37.811613,144.96475
100717,"Capercaillie",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100718,"Burlesque",1998,1998,Music Theatre,700,"National Theatre",St Kilda,-37.866959,144.980955
100719,"AUSTCARE Benefit Concert",1998,1998,Other,813,"Palais Theatre",St Kilda,-37.86684,144.975197
100720,"Goanna - Spirit Returns",1998,1998,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100721,"The Secret Fall of Constance Wilde",1998,1998,Theatre - Spoken Word,3,"Playhouse",Melbourne,-37.821404,144.968724
100722,"A Trial by Video",1998,1998,Dance,15574,"RMIT University, The Former Magistrates Court",Melbourne,-37.808913,144.96639
100723,"Disco Pigs",1998,1998,Theatre - Spoken Word,15575,"RMIT University, The Former Police Garage",Melbourne,-37.811921,144.967863
100724,"White Baptist Abba Fan",1998,1998,Music Theatre,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100725,"Box the Pony",1998,1998,Music Theatre,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100726,"Bill Bailey Live",1998,1998,Music Theatre,700,"National Theatre",St Kilda,-37.866959,144.980955
100736,"Red",1998,1998,Music Theatre,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100737,"A Quiet Afternoon with Midsumma",1998,1998,Other,14596,"Great Hall National Gallery of Victoria",Melbourne,-37.822687,144.968753
100738,"Fur Ball Gala",1998,1998,Music Theatre,661,"Forum Theatre",Melbourne,-37.816627,144.969576
100739,"High Summer Tea Dance",1998,1998,Dance,144,"YMCA",Melbourne,-37.811917,144.971152
100740,"aGendered Cabaret - A Word is Out Event",1998,1998,Music Theatre,82,"Universal Theatre",North Fitzroy,-37.798606,144.975634
100741,"In Gay Company",1998,1998,Music Theatre,2900,"Universal Two",Fitzroy,-37.798606,144.975634
100742,"Betty and Alma's Last Roundup",1998,1998,Music Theatre,15576,"Ramjet's Cafe",Prahran,-37.846275,144.989609
100743,"Big Dicks on Stage",1998,1998,Theatre - Spoken Word,2900,"Universal Two",Fitzroy,-37.798606,144.975634
100744,"Jack",1998,1998,Theatre - Spoken Word,46,"Theatreworks",St Kilda,-37.863928,144.976507
100745,"Marat/Sade",1998,1998,Music Theatre,11579,"Athenaeum Theatre Two",Melbourne,-37.815039,144.967359
100746,"1 Size Fits All",1998,1998,Theatre - Spoken Word,10937,"Malthouse Workshop",Southbank,-37.826664,144.96666
100747,"Queer Cell, A Search for Identity",1998,1998,Other,15577,"Dance House",North Carlton,-37.792343,144.97048
100748,"Sideways",2002,2002,Theatre - Spoken Word,3118,"fortyfivedownstairs",Melbourne,-37.814831,144.973079
100765,"100% Melbourne",2012,2012,Theatre - Spoken Word,125,"Melbourne Town Hall",Melbourne,-37.815084,144.966508
100769,"The Barber of Seville",2012,2012,Music Theatre,11513,"The Arts Centre",Melbourne,-37.819977,144.968632
100771,"Summer of the Seventeenth Doll",2012,2012,Theatre - Spoken Word,11513,"The Arts Centre",Melbourne,-37.819977,144.968632
100818,"Dark - The Adventures of Diane Arbus",1998,1998,Theatre - Spoken Word,2900,"Universal Two",Fitzroy,-37.798606,144.975634
100821,"Odyssey",1998,1998,Theatre - Spoken Word,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100822,"The Wrong Garden Path",1998,1998,Other,13104,"Southgate Promenade",South Melbourne,-37.8205,144.963606
100823,"Sounds at Southgate",1998,1998,Music,13104,"Southgate Promenade",South Melbourne,-37.8205,144.963606
100824,"Soap Box Sunday",1998,1998,Theatre - Spoken Word,2746,"Alexandra Gardens",Melbourne,-37.8205222,144.9718536
100825,"Los Mariachis Ilegales",1998,1998,Music Theatre,125,"Melbourne Town Hall",Melbourne,-37.815084,144.966508
100826,"Dance Theatre of Harlem - Program A",1998,1998,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100827,"Dance Theatre of Harlem - Program B",1998,1998,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100828,"Buglisi/Foreman Dance - Program A",1999,1999,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100829,"Buglisi/Foreman Dance - Program B",1999,1999,Dance,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100830,"Syncopation",2012,2012,Music Theatre,663,"Geelong Performing Arts Centre",Geelong,-38.147454,144.356491
100831,"Plastic Space",1999,1999,Dance,700,"National Theatre",St Kilda,-37.866959,144.980955
100832,"La Negra Ester",1999,1999,Music Theatre,3,"Playhouse",Melbourne,-37.821404,144.968724
100833,"The Coronation of Poppea",1985,1985,Music Theatre,1,"La Mama",Carlton,-37.798931,144.96771
100834,"Jane Eyre",1999,1999,Theatre - Spoken Word,3,"Playhouse",Melbourne,-37.821404,144.968724
100835,"La Calisto",1987,1987,Music Theatre,19183,"University of Melbourne, Guild Theatre",The University Of Melbourne ,-37.797322,144.961405
100836,"Towering Inferno's Kaddish",1999,1999,Music,21,"The State Theatre",Melbourne,-37.8199893,144.9685875
100837,"Readings from Colette",1999,1999,Theatre - Spoken Word,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100838,"Nocturne for Lovers",1999,1999,Music Theatre,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100839,"The Ninth Moon",1999,1999,Theatre - Spoken Word,159,"Beckett Theatre @ CUB Malthouse",Southbank,-37.827082,144.96654
100840,"Tower of Light",1999,1999,Theatre - Spoken Word,15584,"Cattle Pavilion 1",Flemington,-37.783516,144.914507
100841,"The American Chestnut",1999,1999,Theatre - Spoken Word,82,"Universal Theatre",North Fitzroy,-37.798606,144.975634
100842,"Harry's War & No Way to Forget",1999,1999,Theatre - Spoken Word,22,"Carlton Courthouse",Carlton,-37.797696,144.968686
100843,"Concert Soloist and Conductor - A Marriage Made in Heaven?",1999,1999,Other,15585,"St John's Church",Southbank,-37.820975,144.967184
100844,"Mapping the River - In Conversation with Arthur Mitchell",1999,1999,Other,15585,"St John's Church",Southbank,-37.820975,144.967184
100845,"Blitzed-Out Beauty - Reflections on the End of the Millenium",1999,1999,Other,15585,"St John's Church",Southbank,-37.820975,144.967184
100872,"Chic to Cheek - The Art of Leslie Caron and Donlin Foreman",1999,1999,Other,15585,"St John's Church",Southbank,-37.820975,144.967184
100873,"Cultural Implants - Real or Fake?",1999,1999,Other,15585,"St John's Church",Southbank,-37.820975,144.967184
100874,"The Ghost Wife",1999,1999,Music Theatre,12,"Fairfax Studio",Melbourne,-37.821404,144.968724
100906,"Faust and Marguerite",1873,1873,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100907,"La Favorite",1858,1858,Music Theatre,19180,"Princess's Theatre and Opera House (1857-1886)",Melbourne,-37.810729,144.972464
100908,"Fedora",1900,1900,Theatre - Spoken Word,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100909,"Fedora",1901,1901,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100910,"Fernande",1871,1871,Theatre - Spoken Word,19180,"Princess's Theatre and Opera House (1857-1886)",Melbourne,-37.810729,144.972464
100911,"La Fille de Madame Angot",1874,1874,Music Theatre,10628,"Prince of Wales Opera House",Melbourne,-37.813351,144.966632
100912,"The Fires of St. John",1905,1905,Theatre - Spoken Word,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100913,"A Fit of the Blues",1874,1874,Music Theatre,10628,"Prince of Wales Opera House",Melbourne,-37.813351,144.966632
100914,"Ordo Virtutum - The Play of the Virtues",1999,1999,Music Theatre,723,"St. Paul's Cathedral",Melbourne,-37.817455,144.96745
100915,"Tadzio",1998,1998,Theatre - Spoken Word,26,"Rippon Lea",Elsternwick,-37.879209,144.997737
100916,"Twelve Seas",1998,1998,Music Theatre,648,"Dancehouse",North Carlton,-37.792265,144.970458
100917,"What Do They Call Me?",1998,1998,Theatre - Spoken Word,158,"Trades Hall",Carlton South,-37.806332,144.966235
100918,"Handel's Orlando",1999,1999,Music Theatre,2,"Shed 14",Docklands,-37.815951,144.944869
100919,"Opening Night with Maxim Vengerov",1999,1999,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100920,"Maxim Vengerov in Recital",1999,1999,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100922,"New World Concert",1999,1999,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100923,"Nanjing Traditional Instruments Orchestra in Concert",1999,1999,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
100924,"Nanjing Traditional Instruments Orchestra Banquet",1999,1999,Music,15588,"The Dragon Boat Palace Restaurant",Melbourne,-37.81073,144.968016
100925,"Ieuan Jones in Recital",1999,1999,Theatre - Spoken Word,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
100926,"Fazil Say - Recital 1",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
100953,"They Came to a City",1944,1944,Theatre - Spoken Word,2801,"University of Melbourne, Union Theatre",The University Of Melbourne ,-37.797322,144.961405
100958,"Bonaventure",1952,1952,Theatre - Spoken Word,4071,"Little Theatre",South Yarra,-37.835245,144.981099
100983,"Orfeo",1986,1986,Music Theatre,19183,"University of Melbourne, Guild Theatre",The University Of Melbourne ,-37.797322,144.961405
100988,"The Would-be Gentleman",1962,1962,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100989,"Luther",1962,1962,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100990,"Death of a Salesman",1962,1962,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100991,"The Quare Fellow",1962,1962,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100996,"The Matchmaker",1962,1963,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100997,"When the Gravediggers Come",1963,1963,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
100998,"Fazil Say - Recital 2",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
100999,"New Budapest String Quartet",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101,"Scotland the Brave",2001,2001,Music Theatre,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
101000,"New Sounds New York",1999,1999,Music,15572,"Iwaki Auditorium",Southbank,-37.823392,144.966065
101001,"Goethe Lieder Recital",1999,1999,Music,2814,"South Melbourne Town Hall",South Melbourne,-37.834305,144.959749
101002,"Chamber Music Sunset Series: Millennium Masterpieces - New Budapest String Quartet",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101003,"Chamber Music Sunset Series: Millennium Masterpieces - Mogilevski",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101004,"Ike Delavale Remembers Vaudeville",1963,1963,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
101005,"Cat on a Hot Tin Roof",1963,1963,Theatre - Spoken Word,3926,"Emerald Hill Theatre",South Melbourne,-37.837058,144.960994
101013,"Les Patineurs / Serenade / Sun Music",1970,1970,Dance,120,"Princess Theatre (1886- )",Melbourne,-37.810729,144.972464
101016,"Florodora",1900,1900,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
101018,"The Wind and the Rain",1934,1934,Theatre - Spoken Word,98,"Comedy Theatre",Melbourne,-37.810308,144.970033
101021,"Chamber Music Sunset Series: Millennium Masterpieces - Australian String Quartet with Ieuan Jones",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101022,"Chamber Music Sunset Series: Millennium Masterpieces - FLUX Quartet",1999,1999,Theatre - Spoken Word,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101023,"Chamber Music Sunset Series: Millennium Masterpieces - Soloists",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101024,"Chamber Music Sunset Series: Millennium Masterpieces",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101025,"Chamber Music Sunset Series: Millennium Masterpieces - Duo Almonte-Tsunoda",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101026,"Chamber Music Sunset Series: Millennium Masterpieces - A Recital for Voice and Piano",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101027,"Chamber Music Sunset Series: Millennium Masterpieces - Linus String Quartet",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101028,"Chamber Music Sunset Series: Millennium Masterpieces - Schubert",1999,1999,Music,13268,"Collins Street Baptist Church",Melbourne,-37.814945,144.967725
101029,"Estonian Philharmonic Chamber Choir with the Australian Chamber Orchestra",1999,1999,Music,10,"Melbourne Concert Hall",Melbourne,-37.821278,144.969226
101031,"A Doll's House",1945,1945,Theatre - Spoken Word,2801,"University of Melbourne, Union Theatre",The University Of Melbourne ,-37.797322,144.961405
101034,"A Doll's House",1925,1925,Theatre - Spoken Word,11983,"Queen's Hall",Melbourne,-37.809246,144.965072
